"filename", "language", "TypeScript React", "JSON", "TypeScript", "Markdown", "CSS", "JavaScript", "JSON with Comments", "Pug", "Properties", "HTML", "comment", "blank", "total"
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/README.md", "Markdown", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7, 14
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/api/.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/api/app.js", "JavaScript", 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 5, 15, 91
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/api/controllers/cartController.js", "JavaScript", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 17, 19, 82
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/api/controllers/misc.js", "JavaScript", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 3, 4, 48
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/api/controllers/productController.js", "JavaScript", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 14, 11, 51
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/api/controllers/userController.js", "JavaScript", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 10, 14, 92
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/api/middleware/authMiddleware.js", "JavaScript", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 4, 10, 46
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/api/models/cart.js", "JavaScript", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 3, 25
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/api/models/order.js", "JavaScript", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 3, 26
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/api/models/payment.js", "JavaScript", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/api/models/product.js", "JavaScript", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 4, 47
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/api/models/user.js", "JavaScript", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 3, 36
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/api/package-lock.json", "JSON", 0, 3384, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3385
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/api/package.json", "JSON", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 32
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/api/public/stylesheets/style 2.css", "CSS", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/api/public/stylesheets/style.css", "CSS", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/api/routes/auth.js", "JavaScript", 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 10, 65
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/api/routes/carts.js", "JavaScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 4, 10
